Tier	Index	Morpheme	Hex Code	English	Type
Tier 6	567	esting	0x0b4b	extinguish	Root
Tier 6	568	etaĝ	0x0b4c	a floor	Root
Tier 6	569	etern	0x0b4d	eternal	Root
Tier 6	570	eĉ	0x0b4e	even (adv.)	Root
Tier 6	571	fab	0x0b4f	bean	Root
Tier 6	572	fabl	0x0b50	fable	Root
Tier 6	573	facet	0x0b51	[needs definition]	Root
Tier 6	574	facil	0x0b52	light	Root
Tier 6	575	faden	0x0b53	thread	Root
Tier 6	576	fajf	0x0b54	pipe	Root
Tier 6	577	fajr	0x0b55	fire	Root
Tier 6	578	fak	0x0b56	branch	Root
Tier 6	579	fal	0x0b57	fall	Root
Tier 6	580	fald	0x0b58	fold	Root
Tier 6	581	fals	0x0b59	false	Root
Tier 6	582	famili	0x0b5a	family	Root
Tier 6	583	fantom	0x0b5b	ghost	Root
Tier 6	584	far	0x0b5c	do	Root
Tier 6	585	farm	0x0b5d	farm	Root
Tier 6	586	fart	0x0b5e	live	Root
Tier 6	587	febr	0x0b5f	fever	Root
Tier 6	588	februar	0x0b60	February	Root
Tier 6	589	feliĉ	0x0b61	happy	Root
Tier 6	590	fend	0x0b62	split	Root
Tier 6	591	fenestr	0x0b63	window	Root
Tier 6	592	fer	0x0b64	iron	Root
Tier 6	593	ferm	0x0b65	shut	Root
Tier 6	594	fest	0x0b66	feast	Root
Tier 6	595	feĉ	0x0b67	[needs definition]	Root
Tier 6	596	fianĉ	0x0b68	one who is betrothed	Root
Tier 6	597	fidel	0x0b69	faithful	Root
Tier 6	598	fier	0x0b6a	proud	Root
Tier 6	599	fil	0x0b6b	a son	Root
Tier 6	600	fin	0x0b6c	finish	Root
Tier 6	601	fingr	0x0b6d	a finger	Root
Tier 6	602	firm	0x0b6e	firm	Root
Tier 6	603	fiŝ	0x0b6f	a fish	Root
Tier 6	604	flank	0x0b70	side	Root
Tier 6	605	flar	0x0b71	smell	Root
Tier 6	606	flav	0x0b72	yellow	Root
Tier 6	607	flor	0x0b73	flower	Root
Tier 6	608	flu	0x0b74	flow	Root
Tier 6	609	flug	0x0b75	fly	Root
Tier 6	610	fluid	0x0b76	liquid	Root
Tier 6	611	foj	0x0b77	times	Root
Tier 6	612	fojn	0x0b78	hay	Root
Tier 6	613	foli	0x0b79	a leaf	Root
Tier 6	614	fond	0x0b7a	found	Root
Tier 6	615	font	0x0b7b	a fountain	Root
Tier 6	616	forges	0x0b7c	forget	Root
Tier 6	617	fork	0x0b7d	a fork	Root
Tier 6	618	formik	0x0b7e	ant	Root
Tier 6	619	forn	0x0b7f	a stove	Root
Tier 6	620	fort	0x0b80	strong	Root
Tier 6	621	forĝ	0x0b81	forge	Root
Tier 6	622	fos	0x0b82	dig	Root
Tier 6	623	frandaĵ	0x0b83	delicacy	Root
Tier 6	624	franĝ	0x0b84	frindge	Root
Tier 6	625	frap	0x0b85	hit	Root
Tier 6	626	frat	0x0b86	brother	Root
Tier 6	627	fraul	0x0b87	bachelor	Root
Tier 6	628	fraŭl	0x0b88	bachelor	Root
Tier 6	629	fraŭlin	0x0b89	maiden	Root
Tier 6	630	fremd	0x0b8a	foreign	Root
Tier 6	631	freŝ	0x0b8b	fresh	Root
Tier 6	632	fromaĝ	0x0b8c	cheese	Root
Tier 6	633	frost	0x0b8d	frost	Root
Tier 6	634	frot	0x0b8e	rub	Root
Tier 6	635	fru	0x0b8f	early	Root
Tier 6	636	frukt	0x0b90	fruit	Root
Tier 6	637	frunt	0x0b91	forehead	Root
Tier 6	638	fulg	0x0b92	soot	Root
Tier 6	639	fulm	0x0b93	lightning	Root
Tier 6	640	fum	0x0b94	the smoke	Root
Tier 6	641	fund	0x0b95	the bottom	Root
Tier 6	642	funebr	0x0b96	mourning	Root
Tier 6	643	funel	0x0b97	funnel	Root
Tier 6	644	fung	0x0b98	mushroom	Root
Tier 6	645	funt	0x0b99	pound	Root
Tier 6	646	furunk	0x0b9a	[needs definition]	Root
Tier 6	647	fusten	0x0b9b	[needs definition]	Root
Tier 6	648	fut	0x0b9c	foot	Root
Tier 6	649	fuŝ	0x0b9d	botch	Root
Tier 6	650	gad	0x0b9e	[needs definition]	Root
Tier 6	651	gaj	0x0b9f	gay	Root
Tier 6	652	gajn	0x0ba0	win	Root
Tier 6	653	galoŝ	0x0ba1	galosh	Root
Tier 6	654	gant	0x0ba2	a glove	Root
Tier 6	655	gard	0x0ba3	guard	Root
Tier 6	656	gast	0x0ba4	guest	Root
Tier 6	657	genu	0x0ba5	knee	Root
Tier 6	658	glaci	0x0ba6	ice	Root
Tier 6	659	glas	0x0ba7	a glass	Root
Tier 6	660	glat	0x0ba8	smooth	Root
Tier 6	661	glav	0x0ba9	sword	Root
Tier 6	662	glit	0x0baa	slide	Root
Tier 6	663	glor	0x0bab	glorify	Root
Tier 6	664	glut	0x0bac	swallow	Root
Tier 6	665	gobi	0x0bad	[needs definition]	Root
Tier 6	666	gorgex	0x0bae	throat	Root
Tier 6	667	graf	0x0baf	count	Root
Tier 6	668	grajn	0x0bb0	grain	Root
Tier 6	669	gramatik	0x0bb1	grammar	Root
Tier 6	670	grand	0x0bb2	great	Root
Tier 6	671	granit	0x0bb3	granite	Root
Tier 6	672	gras	0x0bb4	fat	Root
Tier 6	673	grat	0x0bb5	scratch	Root
Tier 6	674	gratul	0x0bb6	congratulate	Root
Tier 6	675	grav	0x0bb7	grave	Root
Tier 6	676	gril	0x0bb8	cricket	Root
Tier 6	677	griz	0x0bb9	gray	Root
Tier 6	678	gust	0x0bba	the taste	Root
Tier 6	679	gut	0x0bbb	drop	Root
Tier 6	680	ha!	0x0bbc	ha! ah!	Root
Tier 6	681	hajl	0x0bbd	the hail	Root
Tier 6	682	hak	0x0bbe	chop	Root
Tier 6	683	hakil	0x0bbf	axe (chopping tool)	Root
Tier 6	684	hal	0x0bc0	hall	Root
Tier 6	685	haladz	0x0bc1	bad exhalation	Root
Tier 6	686	halt	0x0bc2	stop	Root
Tier 6	687	har	0x0bc3	a hair	Root
Tier 6	688	haring	0x0bc4	a herring	Root
Tier 6	689	haut	0x0bc5	skin	Root
Tier 6	690	hav	0x0bc6	have	Root
Tier 6	691	hejm	0x0bc7	home	Root
Tier 6	692	hejt	0x0bc8	heat	Root
Tier 6	693	hel	0x0bc9	bright	Root
Tier 6	694	help	0x0bca	help	Root
Tier 6	695	herb	0x0bcb	herb	Root
Tier 6	696	hered	0x0bcc	inherit	Root
Tier 6	697	herez	0x0bcd	heresy	Root
Tier 6	698	herni	0x0bce	[needs definition]	Root
Tier 6	699	hierau	0x0bcf	yesterday	Root
Tier 6	700	hieraŭ	0x0bd0	yesterday	Root
Tier 6	701	hirund	0x0bd1	swallow	Root
Tier 6	702	hiskiam	0x0bd2	[needs definition]	Root
Tier 6	703	ho!	0x0bd3	oh!	Root
Tier 6	704	hodiau	0x0bd4	today	Root
Tier 6	705	hodiaŭ	0x0bd5	today	Root
Tier 6	706	hok	0x0bd6	hook	Root
Tier 6	707	hom	0x0bd7	man (human beings in general)	Root
Tier 6	708	honest	0x0bd8	honest	Root
Tier 6	709	hont	0x0bd9	shame	Root
Tier 6	710	hor	0x0bda	an hour	Root
Tier 6	711	horloĝ	0x0bdb	a clock	Root
Tier 6	712	hotel	0x0bdc	inn	Root
Tier 6	713	huf	0x0bdd	hoof	Root
Tier 6	714	humil	0x0bde	humble	Root
Tier 6	715	hund	0x0bdf	dog	Root
Tier 6	716	ia	0x0be0	some	Root
Tier 6	717	ial	0x0be1	by whatever cause	Root
Tier 6	718	iam	0x0be2	sometime	Root
Tier 6	719	idol	0x0be3	idol	Root
Tier 6	720	ie	0x0be4	somewhere	Root
Tier 6	721	iel	0x0be5	in some manner	Root
Tier 6	722	ies	0x0be6	someone's	Root
Tier 6	723	ili	0x0be7	they	Root
Tier 6	724	implik	0x0be8	entangle	Root
Tier 6	725	infan	0x0be9	child	Root
Tier 6	726	infer	0x0bea	hell	Root
Tier 6	727	ink	0x0beb	ink	Root
Tier 6	728	inkuj	0x0bec	well	Root
Tier 6	729	instru	0x0bed	teach	Root
Tier 6	730	insul	0x0bee	island	Root
Tier 6	731	insult	0x0bef	insult	Root
Tier 6	732	int	0x0bf0	past participle active	Root
Tier 6	733	intenc	0x0bf1	intend	Root
Tier 6	734	inter	0x0bf2	between	Root
Tier 6	735	intern	0x0bf3	inwardly	Root
Tier 6	736	invit	0x0bf4	invite	Root
Tier 6	737	io	0x0bf5	somewhat	Root
Tier 6	738	iom	0x0bf6	any	Root
Tier 6	739	ir	0x0bf7	go	Root
Tier 6	740	it	0x0bf8	past participle passive	Root
Tier 6	741	iu	0x0bf9	someone	Root
Tier 6	742	izrael	0x0bfa	Israel	Root
Tier 6	743	iĥtiokol	0x0bfb	[needs definition]	Root
Tier 6	744	ja	0x0bfc	however	Root
Tier 6	745	jak	0x0bfd	jacket	Root
Tier 6	746	jam	0x0bfe	already	Root
Tier 6	747	januar	0x0bff	January	Root
Tier 6	748	jar	0x0c0a	year	Root
Tier 6	749	jasmen	0x0c0b	[needs definition]	Root
Tier 6	750	je	0x0c0c	general preposition	Root
Tier 6	751	jen	0x0c0d	there	Root
Tier 6	752	jes	0x0c0e	yes	Root
Tier 6	753	jesig	0x0c0f	[needs definition]	Root
Tier 6	754	jozef	0x0c10	Joseph	Root
Tier 6	755	ju	0x0c11	the	Root
Tier 6	756	jug	0x0c12	judge (judge)	Root
Tier 6	757	jugland	0x0c13	walnut	Root
Tier 6	758	juk	0x0c14	itch	Root
Tier 6	759	juli	0x0c15	July	Root
Tier 6	760	jun	0x0c16	young	Root
Tier 6	761	juni	0x0c17	June	Root
Tier 6	762	juniper	0x0c18	[needs definition]	Root
Tier 6	763	junul	0x0c19	youth (young person)	Root
Tier 6	764	jup	0x0c1a	skirt	Root
Tier 6	765	just	0x0c1b	just	Root
Tier 6	766	juvel	0x0c1c	jewel	Root
Tier 6	767	juĝ	0x0c1d	judge	Root
Tier 6	768	ju—des	0x0c1e	the—the	Root
Tier 6	769	kadr	0x0c1f	cadre	Root
Tier 6	770	kaf	0x0c20	coffee	Root
Tier 6	771	kaj	0x0c21	and	Root
Tier 6	772	kajer	0x0c22	stitched book of writing paper	Root
Tier 6	773	kajut	0x0c23	cabin	Root
Tier 6	774	kaldron	0x0c24	kettle	Root
Tier 6	775	kaleŝ	0x0c25	cab	Root
Tier 6	776	kalkan	0x0c26	heel	Root
Tier 6	777	kalkul	0x0c27	count	Root
Tier 6	778	kalumni	0x0c28	slander	Root
Tier 6	779	kamen	0x0c29	chimney	Root
Tier 6	780	kamp	0x0c2a	a field	Root
Tier 6	781	kanap	0x0c2b	a sofa	Root
Tier 6	782	kandel	0x0c2c	a candle	Root
Tier 6	783	kant	0x0c2d	sing	Root
Tier 6	784	kantor	0x0c2e	[needs definition]	Root
Tier 6	785	kap	0x0c2f	head	Root
Tier 6	786	kapr	0x0c30	goat	Root
Tier 6	787	kapt	0x0c31	seize	Root
Tier 6	788	kar	0x0c32	dear	Root
Tier 6	789	karb	0x0c33	coal	Root
Tier 6	790	kares	0x0c34	caress	Root
Tier 6	791	karot	0x0c35	carrot	Root
Tier 6	792	kat	0x0c36	a cat	Root
Tier 6	793	katen	0x0c37	fetter	Root
Tier 6	794	kauz	0x0c38	cause	Root
Tier 6	795	kav	0x0c39	cave	Root
Tier 6	796	kavern	0x0c3a	cave	Root
Tier 6	797	kaviar	0x0c3b	caviar	Root
Tier 6	798	kaz	0x0c3c	afair	Root
Tier 6	799	kaĉ	0x0c3d	gruel	Root
Tier 6	800	kaŝ	0x0c3e	hide	Root
Tier 6	801	kaŭz	0x0c3f	cause	Root
Tier 6	802	ke	0x0c40	that (conj.)	Root
Tier 6	803	kelk	0x0c41	some	Root
Tier 6	804	kelner	0x0c42	waiter	Root
Tier 6	805	ken	0x0c43	[needs definition]	Root
Tier 6	806	kest	0x0c44	box	Root
Tier 6	807	kia	0x0c45	what	Root
Tier 6	808	kial	0x0c46	why	Root
Tier 6	809	kiam	0x0c47	when	Root
Tier 6	810	kie	0x0c48	where	Root
Tier 6	811	kiel	0x0c49	how	Root
Tier 6	812	kies	0x0c4a	whose	Root
Tier 6	813	kio	0x0c4b	what	Root
Tier 6	814	kiom	0x0c4c	how much	Root
Tier 6	815	kis	0x0c4d	kiss	Root
Tier 6	816	kiu	0x0c4e	who	Root
Tier 6	817	klar	0x0c4f	clear	Root
Tier 6	818	klarnet	0x0c50	[needs definition]	Root
Tier 6	819	klister	0x0c51	[needs definition]	Root
Tier 6	820	knab	0x0c52	boy	Root
Tier 6	821	kobalt	0x0c53	cobalt	Root
Tier 6	822	kobold	0x0c54	goblin	Root
Tier 6	823	kok	0x0c55	cock	Root
Tier 6	824	kol	0x0c56	neck	Root
Tier 6	825	koleg	0x0c57	a colleague	Root
Tier 6	826	kolekt	0x0c58	collect	Root
Tier 6	827	koler	0x0c59	be angry	Root
Tier 6	828	kolomb	0x0c5a	dove	Root
Tier 6	829	kolon	0x0c5b	column	Root
Tier 6	830	kolor	0x0c5c	a colour	Root
Tier 6	831	kolum	0x0c5d	collar	Root
Tier 6	832	komb	0x0c5e	comb	Root
Tier 6	833	kombin	0x0c5f	combine	Root
Tier 6	834	komenc	0x0c60	begin	Root
Tier 6	835	komerc	0x0c61	trade	Root
Tier 6	836	kompat	0x0c62	compassionate	Root
Tier 6	837	kompren	0x0c63	understand	Root
Tier 6	838	komunum	0x0c64	community (community)	Root
Tier 6	839	kon	0x0c65	know	Root
Tier 6	840	koncern	0x0c66	concern	Root
Tier 6	841	kondiĉ	0x0c67	condition	Root
Tier 6	842	konduk	0x0c68	conduct	Root
Tier 6	843	konfes	0x0c69	avow	Root
Tier 6	844	konfuz	0x0c6a	confuse	Root
Tier 6	845	konjugaci	0x0c6b	conjugate	Root
Tier 6	846	konjunkci	0x0c6c	conjunction	Root
Tier 6	847	konsent	0x0c6d	consent	Root
Tier 6	848	konserv	0x0c6e	preserve	Root
Tier 6	849	konsil	0x0c6f	counsel	Root
Tier 6	850	konsol	0x0c70	console	Root
Tier 6	851	konsonant	0x0c71	consonant	Root
Tier 6	852	konstant	0x0c72	constant	Root
Tier 6	853	konstru	0x0c73	construct	Root
Tier 6	854	kontent	0x0c74	content	Root
Tier 6	855	kontrau	0x0c75	against	Root
Tier 6	856	konven	0x0c76	suit	Root
Tier 6	857	konvert	0x0c77	convert	Root
Tier 6	858	kopi	0x0c78	copy	Root
Tier 6	859	kor	0x0c79	the heart	Root
Tier 6	860	korn	0x0c7a	a horn	Root
Tier 6	861	korp	0x0c7b	the body	Root
Tier 6	862	korpus	0x0c7c	corps	Root
Tier 6	863	kort	0x0c7d	the court	Root
Tier 6	864	kost	0x0c7e	cost	Root
Tier 6	865	kovr	0x0c7f	cover	Root
Tier 6	866	krajon	0x0c80	a pencil	Root
Tier 6	867	krak	0x0c81	crack	Root
Tier 6	868	kravat	0x0c82	a cravat	Root
Tier 6	869	kraĉ	0x0c83	spit	Root
Tier 6	870	kre	0x0c84	create	Root
Tier 6	871	kred	0x0c85	believe	Root
Tier 6	872	kresk	0x0c86	grow	Root
Tier 6	873	kret	0x0c87	chalk	Root
Tier 6	874	kri	0x0c88	cry	Root
Tier 6	875	kripl	0x0c89	crippled	Root
Tier 6	876	krist	0x0c8a	Christ	Root
Tier 6	877	kristan	0x0c8b	Christian	Root
Tier 6	878	kritik	0x0c8c	criticize	Root
Tier 6	879	kron	0x0c8d	a crown	Root
Tier 6	880	kruc	0x0c8e	a cross	Root
Tier 6	881	krucum	0x0c8f	crucify	Root
Tier 6	882	krut	0x0c90	abrupt	Root
Tier 6	883	kub	0x0c91	Cuba	Root
Tier 6	884	kudr	0x0c92	sew	Root
Tier 6	885	kuir	0x0c93	cook	Root
Tier 6	886	kuler	0x0c94	a spoon	Root
Tier 6	887	kulp	0x0c95	culpable	Root
Tier 6	888	kun	0x0c96	with	Root
Tier 6	889	kunikl	0x0c97	rabbit	Root
Tier 6	890	kuntir	0x0c98	[needs definition]	Root
Tier 6	891	kupr	0x0c99	copper	Root
Tier 6	892	kur	0x0c9a	run	Root
Tier 6	893	kurac	0x0c9b	cure	Root
Tier 6	894	kuracil	0x0c9c	drug	Root
Tier 6	895	kurator	0x0c9d	[needs definition]	Root
Tier 6	896	kuraĝ	0x0c9e	courageous	Root
Tier 6	897	kurten	0x0c9f	curtain	Root
Tier 6	898	kusen	0x0ca0	a cushion	Root
Tier 6	899	kutim	0x0ca1	accustom one's self to	Root
Tier 6	900	kuz	0x0ca2	a cousin	Root
Tier 6	901	kuŝ	0x0ca3	lie (e.g. in bed)	Root
Tier 6	902	kvankam	0x0ca4	though	Root
Tier 6	903	kvar	0x0ca5	four	Root
Tier 6	904	kvartal	0x0ca6	district	Root
Tier 6	905	kvin	0x0ca7	five	Root
Tier 6	906	labor	0x0ca8	labour	Root
Tier 6	907	lac	0x0ca9	weary	Root
Tier 6	908	lakt	0x0caa	milk	Root
Tier 6	909	lam	0x0cab	lame	Root
Tier 6	910	lamp	0x0cac	lamp	Root
Tier 6	911	lan	0x0cad	wool	Root
Tier 6	912	land	0x0cae	land	Root
Tier 6	913	lang	0x0caf	the tongue	Root
Tier 6	914	lantern	0x0cb0	a lantern	Root
Tier 6	915	larm	0x0cb1	a tear	Root
Tier 6	916	larĝ	0x0cb2	large	Root
Tier 6	917	las	0x0cb3	let	Root
Tier 6	918	last	0x0cb4	last	Root
Tier 6	919	lau	0x0cb5	in conformity with	Root
Tier 6	920	laud	0x0cb6	praise	Root
Tier 6	921	laut	0x0cb7	aloud	Root
Tier 6	922	lav	0x0cb8	wash	Root
Tier 6	923	laŭt	0x0cb9	loud	Root
Tier 6	924	lecion	0x0cba	a lesson	Root
Tier 6	925	leg	0x0cbb	read	Root
Tier 6	926	legom	0x0cbc	vegetable	Root
Tier 6	927	leon	0x0cbd	a lion	Root
Tier 6	928	lern	0x0cbe	learn	Root
Tier 6	929	lernej	0x0cbf	school (school (lern+ej))	Root
Tier 6	930	lert	0x0cc0	dexterous	Root
Tier 6	931	leter	0x0cc1	letter	Root
Tier 6	932	lev	0x0cc2	lift up	Root
Tier 6	933	leĝ	0x0cc3	law	Root
Tier 6	934	li	0x0cc4	he	Root
Tier 6	935	liber	0x0cc5	free	Root
Tier 6	936	libr	0x0cc6	book	Root
Tier 6	937	lig	0x0cc7	bind	Root
Tier 6	938	lign	0x0cc8	wood	Root
Tier 6	939	lim	0x0cc9	boundary	Root
Tier 6	940	lingv	0x0cca	speech	Root
Tier 6	941	lip	0x0ccb	lip	Root
Tier 6	942	liphar	0x0ccc	moustache	Root
Tier 6	943	lit	0x0ccd	bed	Root
Tier 6	944	litani	0x0cce	litany	Root
Tier 6	945	liter	0x0ccf	a letter (of the alphabet)	Root
Tier 6	946	livermorum	0x0cd0	[needs definition]	Root
Tier 6	947	lok	0x0cd1	place	Root
Tier 6	948	long	0x0cd2	long	Root
Tier 6	949	lot	0x0cd3	draw lots	Root
Tier 6	950	lotum	0x0cd4	allot	Root
Tier 6	951	loĝ	0x0cd5	dwell	Root
Tier 6	952	lud	0x0cd6	play	Root
Tier 6	953	luks	0x0cd7	luxury	Root
Tier 6	954	lum	0x0cd8	light	Root
Tier 6	955	lun	0x0cd9	the moon	Root
Tier 6	956	lund	0x0cda	Monday	Root
Tier 6	957	magazen	0x0cdb	store	Root
Tier 6	958	maj	0x0cdc	May	Root
Tier 6	959	makler	0x0cdd	act as a middleman	Root
Tier 6	960	makul	0x0cde	a spot	Root
Tier 6	961	malafabl	0x0cdf	brutal	Root
Tier 6	962	malaper	0x0ce0	disappear	Root
Tier 6	963	maldekstr	0x0ce1	left	Root
Tier 6	964	malgrau	0x0ce2	in spite of	Root
Tier 6	965	maljun	0x0ce3	old (old person (mal+jun))	Root
Tier 6	966	maljunul	0x0ce4	elder	Root
Tier 6	967	malutil	0x0ce5	harmful	Root
Tier 6	968	malvarmum	0x0ce6	[needs definition]	Root
Tier 6	969	malvast	0x0ce7	close	Root
Tier 6	970	malvirgig	0x0ce8	[needs definition]	Root
Tier 6	971	man	0x0ce9	hand	Root
Tier 6	972	manum	0x0cea	cuff	Root
Tier 6	973	manĝ	0x0ceb	eat	Root
Tier 6	974	mar	0x0cec	the sea	Root
Tier 6	975	mard	0x0ced	Tuesday	Root
Tier 6	976	marist	0x0cee	sailor (sea-person)	Root
Tier 6	977	mart	0x0cef	March	Root
Tier 6	978	marĉ	0x0cf0	marsh	Root
Tier 6	979	mastr	0x0cf1	master	Root
Tier 6	980	maten	0x0cf2	the morning	Root
Tier 6	981	matur	0x0cf3	ripe	Root
Tier 6	982	maĉ	0x0cf4	chew	Root
Tier 6	983	mem	0x0cf5	self	Root
Tier 6	984	memor	0x0cf6	remember	Root
Tier 6	985	menonit	0x0cf7	[needs definition]	Root
Tier 6	986	merit	0x0cf8	merit	Root
Tier 6	987	merkred	0x0cf9	Wednesday	Root
Tier 6	988	met	0x0cfa	put	Root
Tier 6	989	metal	0x0cfb	metal	Root
Tier 6	990	mez	0x0cfc	the middle	Root
Tier 6	991	mezur	0x0cfd	measure	Root
Tier 6	992	mi	0x0cfe	I	Root
Tier 6	993	miks	0x0cff	mix	Root
Tier 6	994	mil	0x0d0a	thousand	Root
Tier 6	995	milion	0x0d0b	million	Root
Tier 6	996	milit	0x0d0c	war	Root
Tier 6	997	miop	0x0d0d	near-sighted	Root
Tier 6	998	mir	0x0d0e	be astonished	Root
Tier 6	999	mister	0x0d0f	mystery	Root
Tier 6	1000	mizer	0x0d10	misery	Root
Tier 6	1001	moder	0x0d11	moderate	Root
Tier 6	1002	modest	0x0d12	modest	Root
Tier 6	1003	mol	0x0d13	soft	Root
Tier 6	1004	molanas	0x0d14	[needs definition]	Root
Tier 6	1005	mon	0x0d15	money	Root
Tier 6	1006	monat	0x0d16	month	Root
Tier 6	1007	mond	0x0d17	world	Root
Tier 6	1008	mont	0x0d18	mountain	Root
Tier 6	1009	montr	0x0d19	show	Root
Tier 6	1010	mord	0x0d1a	bite	Root
Tier 6	1011	morgau	0x0d1b	tomorrow	Root
Tier 6	1012	morgaŭ	0x0d1c	tomorrow	Root
Tier 6	1013	mort	0x0d1d	die	Root
Tier 6	1014	mortul	0x0d1e	[needs definition]	Root
Tier 6	1015	mov	0x0d1f	move	Root
Tier 6	1016	moŝt	0x0d20	highness	Root
Tier 6	1017	mult	0x0d21	much	Root
Tier 6	1018	mur	0x0d22	wall	Root
Tier 6	1019	murmur	0x0d23	murmur	Root
Tier 6	1020	muŝ	0x0d24	a fly	Root
Tier 6	1021	naci	0x0d25	nation (nation)	Root
Tier 6	1022	najbar	0x0d26	neighbour	Root
Tier 6	1023	nask	0x0d27	bear a child	Root
Tier 6	1024	natur	0x0d28	character	Root
Tier 6	1025	nau	0x0d29	nine	Root
Tier 6	1026	naz	0x0d2a	nose	Root
Tier 6	1027	nazum	0x0d2b	[needs definition]	Root
Tier 6	1028	naĝ	0x0d2c	swim	Root
Tier 6	1029	naŭ	0x0d2d	nine	Root
Tier 6	1030	nebul	0x0d2e	mist	Root
Tier 6	1031	neces	0x0d2f	indispensable	Root
Tier 6	1032	necesej	0x0d30	toilet	Root
Tier 6	1033	negliĝ	0x0d31	n@glig@	Root
Tier 6	1034	nek	0x0d32	neither	Root
Tier 6	1035	nenia	0x0d33	not any	Root
Tier 6	1036	neniam	0x0d34	never	Root
Tier 6	1037	nenie	0x0d35	nowhere	Root
Tier 6	1038	neniel	0x0d36	by no means	Root
Tier 6	1039	nenies	0x0d37	nobody's	Root
Tier 6	1040	nenio	0x0d38	nothing	Root
Tier 6	1041	neniu	0x0d39	nobody	Root
Tier 6	1042	nep	0x0d3a	grandchild	Root
Tier 6	1043	nev	0x0d3b	a nephew	Root
Tier 6	1044	neĝ	0x0d3c	snow	Root
Tier 6	1045	ni	0x0d3d	we	Root
Tier 6	1046	nigr	0x0d3e	black	Root
Tier 6	1047	nobl	0x0d3f	noble	Root
Tier 6	1048	nokt	0x0d40	night	Root
Tier 6	1049	nom	0x0d41	name	Root
Tier 6	1050	nombr	0x0d42	number	Root
Tier 6	1051	nominativ	0x0d43	[needs definition]	Root
Tier 6	1052	nord	0x0d44	northern	Root
Tier 6	1053	nov	0x0d45	new	Root
Tier 6	1054	novembr	0x0d46	November	Root
Tier 6	1055	nub	0x0d47	cloud	Root
Tier 6	1056	nud	0x0d48	naked	Root
Tier 6	1057	nuks	0x0d49	nut	Root
Tier 6	1058	nun	0x0d4a	now	Root
Tier 6	1059	nur	0x0d4b	only	Root
Tier 6	1060	nutr	0x0d4c	nourish	Root
Tier 6	1061	obe	0x0d4d	obey	Root
Tier 6	1062	objekt	0x0d4e	an object	Root
Tier 6	1063	obstin	0x0d4f	obstinate	Root
Tier 6	1064	odor	0x0d50	exhale fragrance	Root
Tier 6	1065	ofend	0x0d51	offend	Root
Tier 6	1066	ofer	0x0d52	offer	Root
Tier 6	1067	ofic	0x0d53	function	Root
Tier 6	1068	oft	0x0d54	often	Root
Tier 6	1069	ok	0x0d55	eight	Root
Tier 6	1070	okaz	0x0d56	happen	Root
Tier 6	1071	okcident	0x0d57	western	Root
Tier 6	1072	oktobr	0x0d58	October	Root
Tier 6	1073	okul	0x0d59	eye	Root
Tier 6	1074	okulvitr	0x0d5a	glasses	Root
Tier 6	1075	okup	0x0d5b	occupy	Root
Tier 6	1076	ol	0x0d5c	than	Root
Tier 6	1077	ole	0x0d5d	oil	Root
Tier 6	1078	ombr	0x0d5e	shadow	Root
Tier 6	1079	ombrel	0x0d5f	parasol	Root
Tier 6	1080	ond	0x0d60	the wave	Root
Tier 6	1081	oni	0x0d61	one	Root
Tier 6	1082	onkl	0x0d62	uncle	Root
Tier 6	1083	ont	0x0d63	future participle active	Root
Tier 6	1084	oportun	0x0d64	opportune	Root
Tier 6	1085	or	0x0d65	gold	Root
Tier 6	1086	ord	0x0d66	order	Root
Tier 6	1087	ordinar	0x0d67	ordinary	Root
Tier 6	1088	ordon	0x0d68	order	Root
Tier 6	1089	orel	0x0d69	the ear	Root
Tier 6	1090	orient	0x0d6a	eastern	Root
Tier 6	1091	ost	0x0d6b	a bone	Root
Tier 6	1092	ov	0x0d6c	an egg	Root
Tier 6	1093	pac	0x0d6d	peace	Root
Tier 6	1094	paf	0x0d6e	shoot	Root
Tier 6	1095	pag	0x0d6f	pay	Root
Tier 6	1096	pajl	0x0d70	straw	Root
Tier 6	1097	pal	0x0d71	pale	Root
Tier 6	1098	palac	0x0d72	a palace	Root
Tier 6	1099	palm	0x0d73	palm	Root
Tier 6	1100	palp	0x0d74	feel	Root
Tier 6	1101	palpebr	0x0d75	eyelid	Root
Tier 6	1102	palpebrum	0x0d76	blink	Root
Tier 6	1103	pan	0x0d77	bread	Root
Tier 6	1104	pantalon	0x0d78	trousers	Root
Tier 6	1105	paper	0x0d79	paper	Root
Tier 6	1106	pardon	0x0d7a	pardon	Root
Tier 6	1107	parenc	0x0d7b	relation	Root
Tier 6	1108	parker	0x0d7c	by heart	Root
Tier 6	1109	parol	0x0d7d	speak	Root
Tier 6	1110	part	0x0d7e	part	Root
Tier 6	1111	pas	0x0d7f	pass	Root
Tier 6	1112	pask	0x0d80	Easter	Root
Tier 6	1113	pastr	0x0d81	priest	Root
Tier 6	1114	patr	0x0d82	father	Root
Tier 6	1115	pav	0x0d83	peacock	Root
Tier 6	1116	paĝ	0x0d84	a page	Root
Tier 6	1117	paŝ	0x0d85	step	Root
Tier 6	1118	pec	0x0d86	a morsel	Root
Tier 6	1119	pekl	0x0d87	pickle	Root
Tier 6	1120	pel	0x0d88	pursue	Root
Tier 6	1121	pelt	0x0d89	fur	Root
Tier 6	1122	pen	0x0d8a	endeavour	Root
Tier 6	1123	pend	0x0d8b	hang	Root
